TeamName,Unique_Team_ID
Bayern Munich,1
Dortmund,2
Leverkusen,3
RB Leipzig,4
Schalke 04,5
M'gladbach,6
Wolfsburg,7
FC Koln,8
Hoffenheim,9
Hertha,10
Mainz,11
Hamburg,12
Werder Bremen,13
Ein Frankfurt,14
Augsburg,15
Freiburg,16
Stuttgart,17
Hannover,18
Ingolstadt,19
Darmstadt,20
Paderborn,21
Nurnberg,22
Braunschweig,23
Greuther Furth,24
Fortuna Dusseldorf,25
Kaiserslautern,26
St Pauli,27
Bochum,28
Karlsruhe,29
Bielefeld,30
Cottbus,31
Duisburg,32
Hansa Rostock,33
Aachen,34
Union Berlin,35
Heidenheim,36
Dresden,37
Sandhausen,38
Erzgebirge Aue,39
Kiel,40
Regensburg,41
Munich 1860,42
Wurzburger Kickers,43
Frankfurt FSV,44
Aalen,45
Oberhausen,46
Osnabruck,47
Koblenz,48
Ahlen,49
Wehen,50
CZ Jena,51
Offenbach,52
Essen,53
Burghausen,54
Unterhaching,55
Saarbrucken,56
Siegen,57
Babelsberg,58
Chemnitz,59
Ein Trier,60
Erfurt,61
F Koln,62
Gutersloh,63
Homburg,64
Leipzig,65
Lubeck,66
Mannheim,67
Meppen,68
Oldenburg,69
Reutlingen,70
Schweinfurt,71
Stuttgarter K,72
TB Berlin,73
Uerdingen,74
Ulm,75
Wattenscheid,76
Wuppertaler,77
Zwickau,78
RW Essen,79
M'Gladbach,80
Arsenal,81
Aston Villa,82
Chelsea,83
Liverpool,84
Man City,85
Newcastle,86
Oldham,87
Sheffield United,88
Southampton,89
West Ham,90
Norwich,91
Tottenham,92
Everton,93
Ipswich,94
Leeds,95
Wimbledon,96
Blackburn,97
Coventry,98
Man United,99
QPR,100
Sheffield Weds,101
Swindon,102
Crystal Palace,103
Leicester,104
Nott'm Forest,105
Bolton,106
Middlesbrough,107
Derby,108
Sunderland,109
Barnsley,110
Charlton,111
Watford,112
Bradford,113
Fulham,114
Birmingham,115
Middlesboro,116
West Brom,117
Portsmouth,118
Wolves,119
Wigan,120
Reading,121
Hull,122
Stoke,123
Burnley,124
Blackpool,125
Swansea,126
Cardiff,127
Bournemouth,128
